movieId,title,genres,clean_title,genres_features,avg_rating,rating_count
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,Adventure Animation Children Comedy Fantasy,3.9209302325581397,215.0
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,Adventure Children Fantasy,3.4318181818181817,110.0
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,Comedy Romance,3.2596153846153846,52.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,Comedy Drama Romance,2.357142857142857,7.0
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,Comedy,3.0714285714285716,49.0
6,Heat (1995),Action|Crime|Thriller,Heat,Action Crime Thriller,3.946078431372549,102.0
7,Sabrina (1995),Comedy|Romance,Sabrina,Comedy Romance,3.185185185185185,54.0
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,Adventure Children,2.875,8.0
9,Sudden Death (1995),Action,Sudden Death,Action,3.125,16.0
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,Action Adventure Thriller,3.496212121212121,132.0
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The",Comedy Drama Romance,3.6714285714285713,70.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,Comedy Horror,2.4210526315789473,19.0
13,Balto (1995),Adventure|Animation|Children,Balto,Adventure Animation Children,3.125,8.0
14,Nixon (1995),Drama,Nixon,Drama,3.8333333333333335,18.0
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island,Action Adventure Romance,3.0,13.0
16,Casino (1995),Crime|Drama,Casino,Crime Drama,3.926829268292683,82.0
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,Drama Romance,3.7761194029850746,67.0
18,Four Rooms (1995),Comedy,Four Rooms,Comedy,3.7,20.0
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls,Comedy,2.727272727272727,88.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train,Action Comedy Crime Drama Thriller,2.5,15.0
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty,Comedy Crime Thriller,3.49438202247191,89.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,Crime Drama Horror Mystery Thriller,3.2222222222222223,36.0
23,Assassins (1995),Action|Crime|Thriller,Assassins,Action Crime Thriller,3.125,16.0
24,Powder (1995),Drama|Sci-Fi,Powder,Drama Sci-Fi,3.125,28.0
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas,Drama Romance,3.625,76.0
26,Othello (1995),Drama,Othello,Drama,3.5,13.0
27,Now and Then (1995),Children|Drama,Now and Then,Children Drama,3.3333333333333335,9.0
28,Persuasion (1995),Drama|Romance,Persuasion,Drama Romance,4.2272727272727275,11.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure Drama Fantasy Mystery Sci-Fi,4.0131578947368425,38.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime Drama,3.0,3.0
31,Dangerous Minds (1995),Drama,Dangerous Minds,Drama,3.1842105263157894,38.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery Sci-Fi Thriller,3.983050847457627,177.0
34,Babe (1995),Children|Drama,Babe,Children Drama,3.65234375,128.0
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,Crime Drama,3.8358208955223883,67.0
38,It Takes Two (1995),Children|Comedy,It Takes Two,Children Comedy,2.125,4.0
39,Clueless (1995),Comedy|Romance,Clueless,Comedy Romance,3.293269230769231,104.0
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country",Drama,4.25,2.0
41,Richard III (1995),Drama|War,Richard III,Drama War,3.7,15.0
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents,Action Crime Drama,3.0,7.0
43,Restoration (1995),Drama,Restoration,Drama,3.1875,8.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat,Action Adventure Fantasy,2.5434782608695654,46.0
45,To Die For (1995),Comedy|Drama|Thriller,To Die For,Comedy Drama Thriller,3.3125,32.0
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt,Drama Romance,3.066666666666667,15.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Seven (a.k.a. Se7en),Mystery Thriller,3.9753694581280787,203.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Pocahontas,Animation Children Drama Musical Romance,3.1470588235294117,68.0
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling,Drama Romance,3.0,1.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Usual Suspects, The",Crime Mystery Thriller,4.237745098039215,204.0
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mighty Aphrodite,Comedy Drama Romance,3.4642857142857144,28.0
53,Lamerica (1994),Adventure|Drama,Lamerica,Adventure Drama,5.0,2.0
54,"Big Green, The (1995)",Children|Comedy,"Big Green, The",Children Comedy,2.3333333333333335,3.0
55,Georgia (1995),Drama,Georgia,Drama,4.0,1.0
57,Home for the Holidays (1995),Drama,Home for the Holidays,Drama,3.0625,8.0
